year,month,day,hour,minute,lat1,lat2,lat3,lon1,lon2,lon3,wp1,wp2,wp3,size1,size2,size3,d1,d2,d3,mask1,mask2,mask3,Cb_dakar_t0,Cb_dakar_t1,Cb_dakar_t2,Cb_dakar_t3,Cb_dakar_t4,Cb_dakar_t5,Cb_dakar_t6
2006,6,1,1,0,8.7463255,5.946475998564086,5.722655163674933,-11.629386,-14.89099967345854,-13.573087902251684,183.11971830985917,0.0,0.0,2556,0,0,918.8706381697209,1015.0357996413658,1086.9242931314775,1,0,0,0,0,0,0,0,0,0
2006,6,1,1,15,8.88425,23.166200084630347,6.834239457339283,-11.493346,-25.337782793294167,-25.229094301903146,165.22739726027396,0.0,0.0,3285,0,0,918.1664230742797,1251.431537136841,1218.900345870014,1,0,0,0,0,0,0,0,0,0
2006,6,1,1,30,8.912538,7.675625544734389,23.224322016723725,-11.579071,-26.55161462154321,-20.875987809547603,150.95111111111112,0.0,0.0,4050,0,0,909.3325605112155,1262.2709352641555,1011.4627923841972,1,0,0,0,0,0,0,0,0,0
2006,6,1,1,45,9.052598,21.138144203476337,22.44586133715201,-11.754021,-24.73573711529429,-24.143248925328578,139.09006928406467,0.0,0.0,3897,0,0,884.7737061088606,1048.9099034767107,1110.2390006768453,1,0,0,0,0,0,0,0,0,0
2006,6,1,2,0,9.024988,21.520009360741064,6.89039747345804,-11.781235,-9.731251681258417,-23.602584356947943,122.86410256410257,0.0,0.0,3510,0,0,884.9106565718539,1113.3801243671985,1097.9696982285943,1,0,0,0,0,0,0,0,0,0
2006,6,1,2,15,8.970592,20.969066453338254,8.910494062510796,-11.948973,-9.984168425321034,-9.042251256639052,109.55244755244755,0.0,0.0,2574,0,0,876.6936885136391,1053.5077331002703,1121.1035993037483,1,0,0,0,0,0,0,0,0,0
2006,6,1,2,30,8.97095,6.462809555091632,9.498782846357017,-12.005586,-21.665628436066758,-26.446089374342105,94.7909090909091,0.0,0.0,990,0,0,872.4593623863874,1025.8963386909847,1135.1907440121954,1,0,0,0,0,0,0,0,0,0
2006,6,1,2,45,8.99856,22.222308705717722,23.23292730362038,-11.978359,-24.568827304159093,-9.32176924387577,103.23076923076923,0.0,0.0,117,0,0,872.2194169814172,1120.8500343197109,1276.1200868317264,1,0,0,0,0,0,0,0,0,0
2006,6,1,3,15,8.694271,7.361907318540311,5.846352537272672,-12.164672,-10.088547025636128,-25.235565557202662,115.05405405405405,0.0,0.0,333,0,0,884.0170747854656,1147.3294041045276,1301.3569449798024,1,0,0,0,0,0,0,0,0,0
2006,6,1,3,30,8.694094,9.38660338368166,22.79564665317487,-12.13636,-9.96679033444871,-8.64425997435626,111.34615384615384,0.0,0.0,234,0,0,886.0463853144436,1007.973543883428,1291.5057093586713,1,0,0,0,0,0,0,0,0,0
2006,6,1,11,45,9.610885,23.64352621587853,20.33624193977194,-12.003289,-22.086501851921604,-25.700513705204223,138.95454545454547,0.0,0.0,198,0,0,821.493308008487,1104.5064206490165,1073.1217031389629,1,0,0,0,0,0,0,0,0,0
2006,6,1,12,0,9.611546,10.136931,21.025498716908956,-12.08853,-11.458401,-8.734735096287604,120.61111111111111,143.46153846153845,0.0,324,585,0,814.7729098471264,827.5686738757637,1159.7334189409746,1,1,0,0,0,0,0,0,0,0
2006,6,1,12,15,9.389845,10.13716,23.404554426988753,-12.249484,-11.486775,-24.240971992959974,177.87719298245614,158.71428571428572,0.0,1026,945,0,820.0976770134381,825.1270207214155,1199.4220698378883,1,1,0,0,0,0,0,0,0,0
2006,6,1,12,30,11.458864,10.306491,9.334335,-12.060722,-11.721062,-12.275525,125.25,157.72972972972974,164.08333333333334,324,333,1512,688.5091877226708,793.3467900810815,822.6590047031709,1,1,1,0,0,0,0,0,0,0
2006,6,1,12,45,11.458864,10.250585,9.500099,-12.060722,-11.718611,-12.083857,116.78571428571429,150.43386243386243,135.46919431279622,504,1701,1899,688.5091877226708,797.4617465530421,823.8955128222789,1,1,1,0,0,0,0,0,0,0
2006,6,1,13,0,11.405029,9.449993,10.250398,-12.34396,-12.849608,-11.690242,104.44827586206897,205.16666666666666,146.97816593886463,522,216,2061,665.9635203457934,771.2891713251333,799.8861199491638,1,1,1,0,0,0,0,0,0,0
2006,6,1,13,15,9.423004,10.197284,9.388416,-12.962497,-12.057293,-12.050742,216.43333333333334,144.20677966101695,129.2808988764045,810,2655,801,765.6809921074995,772.9262166435358,835.2977290141912,1,1,1,0,0,0,0,0,0,0
2006,6,1,13,30,11.378982,10.253428,9.339847,-12.571819,-12.088294,-13.0158415,158.94117647058823,144.67096774193547,250.57603686635946,459,2790,1953,647.2254253644613,766.2698091550925,769.1948598657458,1,1,1,0,0,0,0,0,0,0
2006,6,1,13,45,11.379216,10.227484,9.367679,-12.600472,-12.34341,-13.017042,168.6728971962617,134.28682170542635,253.12412177985948,963,2322,3843,644.6703953071733,747.3333689094611,766.6949336570304,1,1,1,0,0,0,0,0,0,0
2006,6,1,14,0,11.155453,10.227208,9.423865,-12.732005,-12.31484,-13.076663,155.02489626556016,130.32962962962964,248.9931787175989,2169,2430,6597,648.1484036127241,749.6644480949691,757.7305185112185,1,1,1,0,0,0,0,0,0,0
2006,6,1,14,15,11.298129,9.480321,10.254784,-12.969138,-13.164955,-12.259206,167.31873479318736,245.17261904761904,134.03680981595093,3699,9072,1467,618.0186590639099,746.7900763747846,752.1325986136055,1,1,1,0,0,0,0,0,0,0
