year,month,day,hour,minute,lat1,lat2,lat3,lon1,lon2,lon3,wp1,wp2,wp3,size1,size2,size3,d1,d2,d3,mask1,mask2,mask3,Cb_dakar_t0,Cb_dakar_t1,Cb_dakar_t2,Cb_dakar_t3,Cb_dakar_t4,Cb_dakar_t5,Cb_dakar_t6
2014,6,1,0,0,14.265868,12.7062235,10.261036,-14.440028,-12.617129,-13.030436,129.40625,190.51463414634145,91.05405405405405,288,11070,1332,329.77838291052257,569.6447295010744,690.9303823372989,1,1,1,0,0,0,0,0,0,0
2014,6,1,0,15,14.23786,12.792757,23.104434795231455,-14.496624,-12.766534,-22.560318224130068,127.18604651162791,200.96826516220028,0.0,387,12762,0,324.27420886162713,550.9471148573673,1075.2474382664216,1,1,0,0,0,0,0,0,0,0
2014,6,1,0,30,14.238672,12.708238,8.058906636892345,-14.555571,-12.819193,-26.49970484150163,121.4888888888889,196.36638452237,0.0,405,14886,0,318.00011161051174,549.5436882016692,1231.2925622478135,1,1,0,0,0,0,0,0,0,0
2014,6,1,0,45,12.708238,20.426816428137798,22.664772481718217,-12.819193,-9.320500749333185,-12.988265882661329,177.78828163466272,0.0,0.0,18279,0,0,549.5436882016692,1071.5074395096594,1001.6008195814451,1,0,0,0,0,0,0,0,0,0
2014,6,1,1,0,12.707073,12.850596220833431,10.186637349051054,-12.703688,-8.380846788777173,-25.836312827317705,162.50558419243987,0.0,0.0,20952,0,0,561.0187634869726,1002.9035374257669,1038.6692864434738,1,0,0,0,0,0,0,0,0,0
2014,6,1,1,15,12.648955,7.7529504742146305,22.70760471852038,-12.556123,-23.414788758484235,-10.29562622846063,144.46026623638565,0.0,0.0,22311,0,0,578.2715607832833,1009.8002903205463,1165.651688699466,1,0,0,0,0,0,0,0,0,0
2014,6,1,1,30,13.570256,12.648361,7.964497887533616,-13.657806,-12.498444,-11.032563524205784,183.60714285714286,129.51846906987095,0.0,252,20223,0,430.1097223202049,584.0206545136073,1027.264119067822,1,1,0,0,0,0,0,0,0,0
2014,6,1,1,45,13.598766,12.676401,9.404467534322045,-13.659737,-12.471248,-25.982098690409824,159.38983050847457,118.37803398058253,0.0,531,14832,0,428.9573243634336,585.4783643378324,1097.8926146060535,1,1,0,0,0,0,0,0,0,0
2014,6,1,2,0,13.570256,12.789038,6.352639031095349,-13.657806,-12.3914585,-9.746480550059054,143.49333333333334,108.08882783882784,0.0,675,9828,0,430.1097223202049,588.639595028355,1255.3969705036184,1,1,0,0,0,0,0,0,0,0
2014,6,1,2,15,13.569871,12.789038,22.435821035904098,-13.62859,-12.3914585,-26.037360096624635,124.77083333333333,97.95387453874538,0.0,864,4878,0,433.13217757766256,588.639595028355,1245.310011765646,1,1,0,0,0,0,0,0,0,0
2014,6,1,2,30,13.597463,20.095919967233236,22.941051259780288,-13.543132,-8.379226566025977,-9.837305379879293,113.78205128205128,0.0,0.0,702,0,0,441.0463651053627,1134.29119143434,1216.4004973695958,1,0,0,0,0,0,0,0,0,0
2014,6,1,2,45,13.569207,20.025136885805253,22.79308368346794,-13.570281,-9.132397096006084,-23.701906015738288,96.36363636363636,0.0,0.0,396,0,0,439.16617283809654,1063.0335325647618,1111.9205052449872,1,0,0,0,0,0,0,0,0,0
2014,6,1,5,30,8.745703,9.729676643112663,21.98012855005571,-18.390173,-8.673833977542,-24.91042481169555,132.41176470588235,0.0,0.0,153,0,0,671.4875622011533,1104.5626607072986,1126.1297288535745,1,0,0,0,0,0,0,0,0,0
2014,6,1,6,30,9.262474,6.963703715455422,23.624413159969606,-13.8130455,-24.327197680584778,-23.43382589301105,99.0,0.0,0.0,144,0,0,725.0489860603168,1141.6766283603604,1171.584605897306,1,0,0,0,0,0,0,0,0,0
2014,6,1,6,45,9.108567,21.688377535220514,9.764495348937556,-18.353117,-25.09206232850901,-8.380314311590443,116.0,0.0,0.0,135,0,0,630.9839345046796,1117.3290389397832,1130.305146164769,1,0,0,0,0,0,0,0,0,0
2014,6,1,7,0,9.108567,23.238448140615112,7.680872972593962,-18.353117,-23.360486851413135,-8.417232540020347,113.3913043478261,0.0,0.0,207,0,0,630.9839345046796,1131.7483408973756,1259.0422594183644,1,0,0,0,0,0,0,0,0,0
2014,6,1,10,45,9.583736,7.009812355472318,23.140130388859077,-18.294409,-25.07277297878395,-10.071124802389907,100.625,0.0,0.0,144,0,0,577.7833724712959,1192.8598050187563,1216.9636310322142,1,0,0,0,0,0,0,0,0,0
2014,6,1,13,30,9.300476,6.61482346243983,6.1333481333567565,-17.97943,-23.03129904914645,-12.034282079651526,122.76923076923077,0.0,0.0,117,0,0,604.8183315941014,1086.5148051191686,1123.9449194672593,1,0,0,0,0,0,0,0,0,0
2014,6,1,13,45,9.27311,6.597513514042356,23.012629026735652,-18.037008,-9.645558185862495,-25.75227944869701,98.10526315789474,0.0,0.0,171,0,0,608.4535143188855,1242.706467515628,1268.4294094883114,1,0,0,0,0,0,0,0,0,0
2014,6,1,14,45,8.810345,7.429150508575548,6.200640565947318,-19.258522,-25.582224523664728,-13.965490632561607,106.18181818181819,0.0,0.0,198,0,0,685.0498244684849,1199.801316187357,1021.2991008147638,1,0,0,0,0,0,0,0,0,0
2014,6,1,15,0,8.810669,23.332072978350226,6.0957306780675715,-19.288507,-26.237079989547137,-20.91465527201748,97.04761904761905,0.0,0.0,189,0,0,685.9503402703318,1328.6083205655489,1029.9235363915468,1,0,0,0,0,0,0,0,0,0
2014,6,1,17,45,10.434497,7.044724152454849,23.19836510104058,-13.670446,-25.000270600656798,-13.77947125708096,122.94117647058823,0.0,0.0,153,0,0,629.6517267072319,1184.5429768852493,1019.5778898714001,1,0,0,0,0,0,0,0,0,0
2014,6,1,18,0,9.98328,23.105136182414114,7.378155254451811,-13.245903,-23.252328887511304,-23.24403073971986,191.3835616438356,0.0,0.0,657,0,0,697.9794288436035,1113.2741357011967,1030.8489652426563,1,0,0,0,0,0,0,0,0,0
2014,6,1,18,15,9.984005,8.686902616384673,5.869237434705294,-13.33188,-25.4845705406876,-25.81364975215885,158.31683168316832,0.0,0.0,909,0,0,691.8220402533515,1100.3043503275114,1341.5345038248436,1,0,0,0,0,0,0,0,0,0
2014,6,1,18,30,9.984445,5.897722041176359,6.609288466743319,-13.389164,-8.271772366190348,-22.49027361229682,146.22666666666666,0.0,0.0,675,0,0,687.7630077929829,1404.0887217013083,1055.1626973799239,1,0,0,0,0,0,0,0,0,0
2014,6,1,18,45,9.984953,5.912598174581435,8.607955340912975,-13.44656,-9.758616981503312,-25.92009336110876,122.41379310344827,0.0,0.0,522,0,0,683.7227795536207,1291.5322580066195,1143.536002767116,1,0,0,0,0,0,0,0,0,0
2014,6,1,19,0,10.013404,21.693013766708617,18.611113803495716,-13.505341,-25.675454299962546,-8.81437741417395,107.91176470588235,0.0,0.0,306,0,0,677.2046154956624,1162.7805831695705,1018.1758670509291,1,0,0,0,0,0,0,0,0,0
2014,6,1,19,15,10.041821,20.854742106304034,21.003845391985834,-13.564102,-24.888472671352794,-26.469393936684362,97.72222222222223,0.0,0.0,162,0,0,670.7039556056768,1040.3517454744183,1181.1096016549193,1,0,0,0,0,0,0,0,0,0
2014,6,1,20,15,9.585945,23.234594807570204,23.32639758537711,-12.399991,-11.311615641542266,-26.665340904913922,125.96875,0.0,0.0,288,0,0,792.9114803790078,1146.7483133184185,1359.7061660419397,1,0,0,0,0,0,0,0,0,0
2014,6,1,20,30,9.697492,22.64217516855566,6.4523704890786355,-12.404875,-8.910638511089346,-8.422289096445372,107.0,0.0,0.0,279,0,0,783.5867804748473,1259.8553553158417,1349.084661711587,1,0,0,0,0,0,0,0,0,0
2014,6,1,20,45,9.753915,6.599161630255833,7.0022128922336355,-12.492748,-9.926768502774145,-9.270432153916243,104.0,0.0,0.0,162,0,0,772.3836997520012,1221.6776058890903,1239.2629532638468,1,0,0,0,0,0,0,0,0,0
2014,6,2,10,0,12.104903,12.97196898458742,12.146447522323994,-11.836651,-8.161525242969464,-8.347592623935078,108.3125,0.0,0.0,144,0,0,674.6964425563079,1023.1875104723321,1026.792926819686,1,0,0,0,0,0,0,0,0,0
2014,6,2,10,15,12.051286,12.724578,17.16653534618002,-12.14892,-11.58326,-8.263543548693736,196.0,106.54600606673408,0.0,207,8901,0,647.142378976152,673.0868137719284,1020.9349128247666,1,1,0,0,0,0,0,0,0,0
2014,6,2,10,30,13.321383,12.051557,11.269842722887866,-11.673916,-12.177614,-26.62476089215321,103.69866071428571,153.231884057971,0.0,8064,621,0,643.9842346454395,644.3709120956453,1063.3944642451534,1,1,0,0,0,0,0,0,0,0
2014,6,2,10,45,13.012127,12.052065,21.30436162092849,-12.001353,-12.234982,-10.204463897296069,101.40653153153153,124.8048780487805,0.0,7992,1107,0,619.7742192612096,638.841005229998,1060.9260231670785,1,1,0,0,0,0,0,0,0,0
2014,6,2,11,0,11.746715,13.267079,22.16867489052995,-12.7638,-11.929782,-26.00309504204324,122.82758620689656,102.59055118110236,0.0,1305,8001,0,606.8219036260366,618.8445885197748,1222.9355352315654,1,1,0,0,0,0,0,0,0,0
2014,6,2,11,15,11.719051,13.154425,12.052327,-12.819755,-12.038334,-12.26368,120.60227272727273,117.66666666666667,113.8125,792,4401,432,603.4669956225351,611.1226970444435,636.0787687405481,1,1,1,0,0,0,0,0,0,0
2014,6,2,11,30,13.242119,11.971324,11.327615,-12.274145,-12.661234,-13.114465,111.12756264236901,104.18181818181819,179.61428571428573,3951,297,630,583.8574300369797,602.9471894993221,603.6111949408266,1,1,1,0,0,0,0,0,0,0
2014,6,2,11,45,12.876168,11.327898,5.7553305705764455,-12.598385,-13.143257,-24.167026403079642,103.8241469816273,195.6235294117647,0.0,3429,1530,0,564.2104910742287,601.1582155604045,1236.5690779841343,1,1,0,0,0,0,0,0,0,0
2014,6,2,12,0,13.558948,12.846054,11.299966,-12.640391,-12.423593,-13.170419,103.81395348837209,93.5,171.37083333333334,387,1476,2160,536.1763064877159,583.0569233556733,600.8472066327306,1,1,1,0,0,0,0,0,0,0
2014,6,2,12,15,13.616624,12.992716,12.310257,-12.701996,-12.894319,-12.651701,115.46739130434783,106.5,127.0,828,360,333,528.1463939395004,529.6199151301677,585.3715866050471,1,1,1,0,0,0,0,0,0,0
2014,6,2,12,30,13.250209,12.3108225,11.244815,-13.05527,-12.709329,-13.282527,110.34382566585957,111.16923076923077,116.48356807511738,3717,585,1917,503.2279958282593,579.8083361715983,595.4833390063953,1,1,1,0,0,0,0,0,0,0
2014,6,2,12,45,13.082949,12.339653,11.385812,-13.363561,-12.768581,-13.319135,134.547134935305,123.16494845360825,98.3953488372093,4869,873,774,478.7742406677825,572.6200691147623,582.2811836132481,1,1,1,0,0,0,0,0,0,0
2014,6,2,13,0,13.083278,12.33935,11.386067,-13.392617,-12.739733,-13.347931,155.1604938271605,115.95959595959596,97.97222222222223,6561,891,324,475.8598919859179,575.4039177396442,579.8598421688696,1,1,1,0,0,0,0,0,0,0
2014,6,2,13,15,12.942979,12.36765,11.386067,-13.557678,-12.741371,-13.347931,166.9377729257642,107.53521126760563,99.23684210526316,8244,639,342,465.94426706355057,573.781179458756,579.8598421688696,1,1,1,0,0,0,0,0,0,0
2014,6,2,13,30,13.000493,12.368459,11.386384,-13.619545,-12.827836,-13.376805,166.8968481375358,115.28395061728395,98.0,9423,729,423,457.14982570985234,565.4335064376701,577.4342506221757,1,1,1,0,0,0,0,0,0,0
2014,6,2,13,45,12.520313,12.368206,11.358977,-13.820796,-12.799027,-13.461629,157.0653594771242,111.25641025641026,95.25,11016,702,360,463.62345358445646,568.2104929180098,572.4164406989337,1,1,1,0,0,0,0,0,0,0
2014,6,2,14,0,13.203905,12.367967,9.100584309357615,-14.011567,-12.770241,-26.701367258692844,152.1911976911977,105.07228915662651,0.0,12474,747,0,409.1167108465238,570.9881317750603,1182.4847282939497,1,1,0,0,0,0,0,0,0,0
2014,6,2,14,15,13.119149,12.36765,5.737594503224419,-14.064081,-12.741371,-23.992383017306572,142.76329787234042,93.26315789473684,0.0,13536,513,0,408.0319311293215,573.781179458756,1226.9766838864462,1,1,0,0,0,0,0,0,0,0
2014,6,2,14,30,12.6405525,19.156420547900836,6.4309676257276145,-14.439885,-8.493951258314393,-9.18152231346378,143.419575633128,0.0,0.0,13149,0,0,400.363242815555,1074.3146188553806,1291.3448782840383,1,0,0,0,0,0,0,0,0,0
2014,6,2,14,45,13.80531,12.527394,12.2914915,-14.2294855,-14.461469,-13.603396,90.78571428571429,142.6048387096774,102.0952380952381,126,12276,189,363.38477520057904,405.9405038797258,497.2443118073531,1,1,1,0,0,0,0,0,0,0
2014,6,2,15,0,13.214653,12.235513,22.810034445502623,-14.919256,-13.657904,-25.39663226562908,144.84442836468887,95.53846153846153,0.0,12438,117,0,321.7326029246938,495.7796008927644,1226.8299212760803,1,1,0,0,0,0,0,0,0,0
2014,6,2,15,15,13.186505,12.235809,12.793361883715272,-14.946542,-13.686887,-8.352014940772545,140.4047138047138,103.52380952380952,0.0,13365,189,0,320.8822284995994,493.16043055509607,1007.3961723860928,1,1,0,0,0,0,0,0,0,0
