year,month,day,hour,minute,lat1,lat2,lat3,lon1,lon2,lon3,wp1,wp2,wp3,size1,size2,size3,d1,d2,d3,mask1,mask2,mask3,Cb_dakar_t0,Cb_dakar_t1,Cb_dakar_t2,Cb_dakar_t3,Cb_dakar_t4,Cb_dakar_t5,Cb_dakar_t6
2015,6,1,0,0,9.053761,9.925747152414807,6.629025354532423,-11.923886,-26.019077732996145,-8.483863856637974,184.85003190810465,0.0,0.0,28206,0,0,871.8037039521898,1070.576689670611,1330.6370676978984,1,0,0,0,0,0,0,0,0,0
2015,6,1,0,15,9.0815525,23.49245057861524,20.767220788078184,-11.924969,-24.717558338906617,-25.56943475260259,180.8475394017369,0.0,0.0,27981,0,0,869.4730775139344,1237.2796969557228,1089.8837571578035,1,0,0,0,0,0,0,0,0,0
2015,6,1,0,30,9.165368,6.593913284734976,23.546665530680478,-11.984951,-10.255020298540718,-10.699624425575404,174.47893713545042,0.0,0.0,27774,0,0,858.1775481417061,1198.2658525366153,1211.6661787695232,1,0,0,0,0,0,0,0,0,0
2015,6,1,0,45,8.694094,8.141928980675836,22.663494053948327,-12.13636,-25.67254855360399,-8.453371234548982,164.92450947788492,0.0,0.0,27063,0,0,886.0463853144436,1154.605879887245,1296.233910883798,1,0,0,0,0,0,0,0,0,0
2015,6,1,1,30,8.705752,8.857899573798376,22.35547968736615,-13.787671,-8.220877462961546,-23.260517783254656,236.390625,0.0,0.0,576,0,0,779.1752853338108,1198.495992284422,1045.7910635871092,1,0,0,0,0,0,0,0,0,0
2015,6,1,1,45,8.734395,9.777838,22.81356583820802,-13.903415,-11.953695,-8.777338158149782,200.578125,90.7107438016529,0.0,576,1089,0,770.0150144926254,812.609946160201,1282.849664874329,1,1,0,0,0,0,0,0,0,0
2015,6,1,2,0,8.790909,9.390474,5.729453459071392,-14.020597,-12.334744,-15.782061501749629,174.015625,90.38,0.0,576,450,0,758.1868081202796,813.6642459727987,1016.1769321238413,1,1,0,0,0,0,0,0,0,0
2015,6,1,2,15,8.847435,9.418742,6.175810530200948,-14.137894,-12.392783,-25.178949979041885,149.70491803278688,96.20481927710843,0.0,549,747,0,746.4369484619876,807.0359879965098,1269.4489992767526,1,1,0,0,0,0,0,0,0,0
2015,6,1,2,30,8.931833,9.558508,8.618035645352851,-14.256653,-12.455707,-26.44748021773862,127.8913043478261,92.6875,0.0,414,576,0,731.9685420458748,790.9466409994061,1189.54377451415,1,1,0,0,0,0,0,0,0,0
2015,6,1,2,45,8.960605,22.636387847401537,18.503824250788888,-14.372991,-22.862926047123192,-8.206598616221886,108.25806451612904,0.0,0.0,279,0,0,723.1739337639941,1047.7585925498076,1072.6204164824203,1,0,0,0,0,0,0,0,0,0
2015,6,1,3,15,9.285612,10.610731472461307,22.879169946295356,-13.213161,-8.644325362442828,-22.156701081384536,94.6923076923077,0.0,0.0,234,0,0,760.688432185072,1060.296278532083,1032.8811781995487,1,0,0,0,0,0,0,0,0,0
2015,6,1,3,30,9.342055,12.769213590846034,7.1590050033428145,-13.30151,-8.232952457712834,-23.701665096882508,91.5111111111111,0.0,0.0,405,0,0,749.8488785005122,1020.5785862491856,1081.0524255633586,1,0,0,0,0,0,0,0,0,0
2015,6,1,4,30,9.264545,23.38765897698819,8.998802487812734,-14.071396,-10.941490885435796,-8.87940495259614,95.079754601227,0.0,0.0,1467,0,0,709.8476976182916,1182.727812504874,1129.9632840355523,1,0,0,0,0,0,0,0,0,0
2015,6,1,6,45,8.8315935,23.447028868637993,9.206793704698518,-15.60834,-14.317306280947202,-9.227872853348437,107.90697674418605,0.0,0.0,387,0,0,684.9474072419442,1025.5261558761408,1085.362624026187,1,0,0,0,0,0,0,0,0,0
2015,6,1,7,0,8.8326235,9.017837802844253,21.449521456625646,-15.724529,-25.65092769344998,-23.86869941216607,113.8913043478261,0.0,0.0,828,0,0,681.2107335348202,1092.5755648056968,1008.732335060236,1,0,0,0,0,0,0,0,0,0
2015,6,1,7,15,8.861197,23.206372667911232,23.419319824709945,-15.813045,-13.687706663768473,-22.10387829383966,114.57843137254902,0.0,0.0,918,0,0,675.5273757799143,1024.0951509317563,1083.1376422403916,1,0,0,0,0,0,0,0,0,0
2015,6,1,7,30,8.9175205,6.034204438274418,23.288615323748424,-15.87422,-11.130606399526005,-24.626339117627424,114.70192307692308,0.0,0.0,936,0,0,667.7299777911309,1188.060301535625,1213.8536518518033,1,0,0,0,0,0,0,0,0,0
2015,6,1,8,0,8.697324,20.319673451361215,18.37547997543144,-16.182764,-9.510935882587553,-26.477861857353954,131.72995780590716,0.0,0.0,2133,0,0,683.7720986288004,1048.4163333208107,1042.752916640972,1,0,0,0,0,0,0,0,0,0
2015,6,1,8,15,8.753292,7.680666822450585,22.044606813393713,-16.214787,-26.65451691417724,-25.094283884620637,152.53355704697987,0.0,0.0,2682,0,0,676.9684114687682,1270.7358479267762,1144.6989470531273,1,0,0,0,0,0,0,0,0,0
2015,6,1,8,45,8.726734,7.222254899815606,19.00915005181448,-16.359205,-24.25059153311202,-25.779499142238286,143.14634146341464,0.0,0.0,3690,0,0,676.8860323835685,1114.3707630537835,1004.7676054736587,1,0,0,0,0,0,0,0,0,0
2015,6,1,9,0,8.782481,12.027402202107147,5.977189114503369,-16.36216,-8.59043065714458,-20.592581957255558,127.75675675675676,0.0,0.0,2997,0,0,670.7276175145515,1005.6764363135865,1030.0298368039835,1,0,0,0,0,0,0,0,0,0
2015,6,1,9,30,8.8387165,5.870784719433964,21.643279650025153,-16.42344,-12.962393987584955,-9.98287229448145,116.35570469798658,0.0,0.0,1341,0,0,663.4005207918568,1099.9650438023793,1103.3434773747035,1,0,0,0,0,0,0,0,0,0
2015,6,1,9,45,8.8403015,7.256822512537241,6.6580168592998765,-16.598818,-10.062393624630417,-22.646249731364712,103.62698412698413,0.0,0.0,1134,0,0,660.225920771337,1157.7637018304,1059.5035315810308,1,0,0,0,0,0,0,0,0,0
2015,6,1,10,0,8.977979,7.471065808720585,23.179589920520343,-16.401894,-26.664754170141144,-21.869499339161607,91.43103448275862,0.0,0.0,522,0,0,648.5596998209447,1286.3361190177668,1048.4820882105093,1,0,0,0,0,0,0,0,0,0
2015,6,1,16,15,11.150269,10.29533286810205,23.657046745001203,-12.1309,-26.20931244195356,-15.497241953840799,230.52941176470588,0.0,0.0,306,0,0,701.1691313428324,1068.4727200303066,1015.3738870753754,1,0,0,0,0,0,0,0,0,0
2015,6,1,16,30,11.151261,6.019641205994587,22.78431201495087,-12.245254,-10.214312865603755,-10.083569190893758,248.66141732283464,0.0,0.0,1143,0,0,690.9224937707933,1250.3171473051727,1186.5185790456753,1,0,0,0,0,0,0,0,0,0
2015,6,1,16,45,11.179885,7.224730689906863,11.661807181073852,-12.303907,-25.60258528176741,-26.172997747907196,259.3514851485148,0.0,0.0,1818,0,0,683.867361772499,1217.084500453979,1001.6333486721104,1,0,0,0,0,0,0,0,0,0
2015,6,1,17,0,11.1239,22.186897953177976,6.069543136666312,-12.329638,-8.807633233999134,-24.941337676892342,298.742671009772,0.0,0.0,2763,0,0,685.2475938780772,1233.949491931216,1261.438168662489,1,0,0,0,0,0,0,0,0,0
2015,6,1,17,15,11.152728,7.824540615693181,20.52733341966846,-12.41689,-23.616464518984518,-8.468541431395348,295.45346062052505,0.0,0.0,3771,0,0,675.6794835928997,1017.9919335335532,1151.4452048349397,1,0,0,0,0,0,0,0,0,0
2015,6,1,17,30,11.15325,22.621954149238213,6.924128719783011,-12.474174,-23.370170465456507,-24.508118719942306,282.6654867256637,0.0,0.0,5085,0,0,670.6277410762856,1076.3148359618367,1158.0331774193576,1,0,0,0,0,0,0,0,0,0
2015,6,1,17,45,11.18206,23.34234871242296,17.27136095762745,-12.56149,-13.579360220945883,-8.164914647086668,284.4992657856094,0.0,0.0,6129,0,0,661.085655900215,1042.381967612507,1033.979972989981,1,0,0,0,0,0,0,0,0,0
2015,6,1,18,0,11.183086,11.430453,5.81215020278914,-12.676156,-12.030679,-14.662101263203112,273.3178294573643,124.88235294117646,0.0,6966,153,0,651.0686639973795,692.9660345986556,1036.5315596780877,1,1,0,0,0,0,0,0,0,0
2015,6,1,18,15,11.184349,8.167753984747637,6.081133708395461,-12.819564,-26.266008705299555,-24.552809096572147,251.50832408435073,0.0,0.0,8109,0,0,638.6613399079155,1203.5569700960773,1233.375585770756,1,0,0,0,0,0,0,0,0,0
2015,6,1,18,30,11.1291485,11.4864645,5.821521677106506,-12.931402,-12.004911,-9.203309149137624,246.36708860759492,96.14285714285714,0.0,9243,252,0,633.0412403733856,692.0309645361687,1339.4415421155381,1,1,0,0,0,0,0,0,0,0
2015,6,1,18,45,11.045361,5.981512009202421,7.22509870239103,-12.984375,-22.70730087885571,-25.207587963232157,234.6948565776459,0.0,0.0,18198,0,0,634.60742936277,1127.4827474606411,1186.0145238428415,1,0,0,0,0,0,0,0,0,0
2015,6,1,19,0,11.159108,8.09084285603354,6.213509670899295,-13.134066,-25.35622810392687,-25.730573107798783,231.7507546356188,0.0,0.0,20871,0,0,613.9738672320766,1131.8937633076741,1307.139503831256,1,0,0,0,0,0,0,0,0,0
2015,6,1,19,15,11.24428,23.503661918431234,6.266739644888181,-13.224956,-25.088075173122956,-26.114330091964394,225.4306625577812,0.0,0.0,23364,0,0,600.2841010529538,1262.4948532196333,1332.195353776145,1,0,0,0,0,0,0,0,0,0
2015,6,1,19,30,11.216961,9.090457932542222,9.73836484611872,-13.309783,-8.168450301287983,-25.48523881235397,220.97197962154294,0.0,0.0,24732,0,0,595.276618140753,1189.150482336839,1031.9745931347,1,0,0,0,0,0,0,0,0,0
2015,6,1,19,45,10.378703,10.530988,23.426736460107975,-13.69627,-11.816423,-12.393353509318851,138.57142857142858,215.07606866374957,0.0,126,26739,0,632.5671756829378,769.6953881901079,1105.2744075508488,1,1,0,0,0,0,0,0,0,0
2015,6,1,20,0,10.587908,23.491402041064617,22.757099159959168,-11.932879,-8.664563857853903,-11.350333261170531,206.57725118483413,0.0,0.0,28485,0,0,755.7616421892401,1343.532494321774,1101.5124107096049,1,0,0,0,0,0,0,0,0,0
2015,6,1,20,15,10.504119,23.47994115873353,6.3720945995066955,-11.95746,-13.918686939880141,-12.66868208798062,202.37860208461066,0.0,0.0,29358,0,0,759.4295121518733,1043.1695735458516,1065.6590947316313,1,0,0,0,0,0,0,0,0,0
2015,6,1,20,30,10.617693,7.534289112127562,8.625135915086139,-12.16211,-23.28034230118383,-25.20533316609209,202.4240837696335,0.0,0.0,29223,0,0,734.0811459322447,1019.5251402189288,1080.7290266610878,1,0,0,0,0,0,0,0,0,0
2015,6,1,20,45,10.675129,7.304977131542902,22.89305308578794,-12.336003,-23.127717644331177,-8.257009639776566,198.53411546773697,0.0,0.0,29151,0,0,715.317146190013,1029.6898762218573,1328.2252133293823,1,0,0,0,0,0,0,0,0,0
2015,6,1,21,0,10.635813,22.717313166882292,6.925180730525518,-14.229033,-22.121313382250044,-11.122238995776273,184.90547263681592,0.0,0.0,28944,0,0,573.8374261375161,1015.4285728574112,1109.0826295924214,1,0,0,0,0,0,0,0,0,0
2015,6,1,21,15,10.368941,21.124055090319956,22.439230537522683,-12.549686,-8.693806213066047,-23.000864422562515,168.4429356611704,0.0,0.0,27837,0,0,720.0715465032285,1169.6034867112924,1037.6835024801876,1,0,0,0,0,0,0,0,0,0
2015,6,1,21,30,10.398083,23.61663938860635,20.186693318477253,-12.693874,-15.073872769599323,-9.080716184023814,156.39789626405513,0.0,0.0,24813,0,0,706.3274142597701,1020.9843352250673,1077.2854661008826,1,0,0,0,0,0,0,0,0,0
2015,6,1,21,45,10.75057,10.230907,21.317508579373726,-14.49582,-12.771569,-24.162472902220173,158.8199152542373,156.6375074895147,0.0,4248,15021,0,546.2029579940265,713.1567316732009,1019.3598823210822,1,1,0,0,0,0,0,0,0,0
