year,month,day,hour,minute,lat1,lat2,lat3,lon1,lon2,lon3,wp1,wp2,wp3,size1,size2,size3,d1,d2,d3,mask1,mask2,mask3,Cb_dakar_t0,Cb_dakar_t1,Cb_dakar_t2,Cb_dakar_t3,Cb_dakar_t4,Cb_dakar_t5,Cb_dakar_t6
2023,6,1,0,0,11.142057,8.730369,21.97364528831646,-16.918892,-16.768396,-25.556711300201087,132.8125,131.76923076923077,0.0,144,117,0,401.90301061407723,669.9826732936161,1174.143970413792,1,1,0,0,0,0,0,0,0,0
2023,6,1,0,15,11.170653,8.815906,21.70752545419478,-16.950514,-16.978148,-8.597374154701225,120.8125,171.51020408163265,0.0,144,441,0,398.26166212837023,658.2942438792784,1216.7496056749787,1,1,0,0,0,0,0,0,0,0
2023,6,1,0,30,11.227434,21.833080770602685,6.300404329118751,-16.984097,-9.197110183983774,-24.194027961864034,97.38461538461539,0.0,0.0,117,0,0,391.5073716796647,1177.8463257945552,1189.7538492886986,1,0,0,0,0,0,0,0,0,0
2023,6,1,0,45,11.312839,8.988412,22.787899032813513,-17.049381,-17.517185,-11.508478964916156,95.84615384615384,155.9655172413793,0.0,117,261,0,381.19215459564424,636.9767639040022,1094.650542314179,1,1,0,0,0,0,0,0,0,0
2023,6,1,1,30,8.710934,22.04093549179364,23.662560220091756,-17.678083,-24.46052711017247,-13.805666467960409,188.98181818181817,0.0,0.0,2970,0,0,668.2005549084984,1098.5134604551542,1066.2935102806748,1,0,0,0,0,0,0,0,0,0
2023,6,1,1,45,13.664901,9.30324,8.711753,-16.610872,-18.246553,-17.766596,96.35,138.15384615384616,143.86206896551724,180,117,2610,149.0269115453344,607.8730362697354,668.5089714710272,1,1,1,0,0,0,0,0,0,0
2023,6,1,2,0,13.77951,9.332156,8.767573,-16.620682,-18.337494,-17.769815,105.31111111111112,172.8181818181818,109.30409356725146,405,198,1539,138.53579992643995,606.1520227384681,662.3265731551088,1,1,1,0,0,0,0,0,0,0
2023,6,1,2,15,13.865064,9.360822,8.935736,-16.598188,-18.398865,-17.838806,100.55357142857143,152.7948717948718,90.27586206896552,504,351,261,133.21084100931895,604.0849773083017,644.0778280060035,1,1,1,0,0,0,0,0,0,0
2023,6,1,2,30,13.838545,9.389487,22.662257179383317,-16.745146,-18.460268,-9.269088122567851,91.22,122.88235294117646,0.0,450,306,0,124.88608829809873,602.1021379991859,1234.7482704715226,1,1,0,0,0,0,0,0,0,0
2023,6,1,2,45,13.92755,9.389804,22.927097430099316,-16.962128,-18.490059,-9.307465265045956,102.66666666666667,107.53333333333333,0.0,540,135,0,103.27756708249245,602.6562731268726,1252.7119126429086,1,1,0,0,0,0,0,0,0,0
2023,6,1,3,0,14.013219,9.342085198707714,6.359126137890461,-16.939795,-25.954647897669133,-12.620548613309285,108.01333333333334,0.0,0.0,675,0,0,96.70542697264032,1099.2179330908234,1069.5116047916401,1,0,0,0,0,0,0,0,0,0
2023,6,1,3,15,14.127351,10.335872498511186,7.368351550450939,-16.890255,-26.194235703978286,-25.92227175605768,101.97222222222223,0.0,0.0,648,0,0,90.33827957890645,1064.889031154494,1231.9359383646004,1,0,0,0,0,0,0,0,0,0
2023,6,1,3,30,14.27146,14.046836,10.522689562351353,-16.933104,-17.2726,-26.028691880974325,89.90625,93.8125,0.0,288,144,0,75.91407515013758,77.39018168887289,1039.1812367955856,1,1,0,0,0,0,0,0,0,0
2023,6,1,3,45,14.1038885,22.889087948020475,21.86392934407683,-17.247828,-9.081446361692745,-23.823303491369057,113.78571428571429,0.0,0.0,504,0,0,72.135746697278,1266.1349754628325,1039.7305568524275,1,0,0,0,0,0,0,0,0,0
2023,6,1,4,0,14.218022,6.514086879813723,6.4215861207160305,-17.198275,-9.380012538028815,-13.417037433411627,119.48809523809524,0.0,0.0,756,0,0,62.57699452334681,1269.5240048074286,1022.9537044612313,1,0,0,0,0,0,0,0,0,0
2023,6,1,4,15,14.304329,12.671002218660075,21.88476901498592,-17.20623,-26.71296129783724,-10.467075379174872,111.48958333333333,0.0,0.0,864,0,0,53.80025661090472,1024.259765602572,1086.5052572962234,1,0,0,0,0,0,0,0,0,0
2023,6,1,4,30,14.333999,21.57174678550155,7.285947534739179,-17.269054,-11.050010116220104,-25.688548562413377,99.50847457627118,0.0,0.0,531,0,0,47.62143646453501,1019.8578781005807,1219.2532936560588,1,0,0,0,0,0,0,0,0,0
2023,6,1,4,45,14.478045,7.53369771469595,21.955239772925104,-17.282585,-9.281212054538567,-9.617549765879232,91.94444444444444,0.0,0.0,162,0,0,33.17840922430377,1197.7087734590718,1154.5857554421486,1,0,0,0,0,0,0,0,0,0
2023,6,1,16,30,8.711025,5.824620871326667,7.13143931391431,-14.47631,-25.857732350637658,-25.176380767653814,108.4054054054054,0.0,0.0,333,0,0,742.9152450620941,1348.4852156022826,1191.029496745099,1,0,0,0,0,0,0,0,0,0
