year,month,day,hour,minute,lat1,lat2,lat3,lon1,lon2,lon3,wp1,wp2,wp3,size1,size2,size3,d1,d2,d3,mask1,mask2,mask3,Cb_dakar_t0,Cb_dakar_t1,Cb_dakar_t2,Cb_dakar_t3,Cb_dakar_t4,Cb_dakar_t5,Cb_dakar_t6
2005,6,1,2,30,9.426906,9.132284,10.575212977006537,-19.329338,-20.545946,-25.84261952077047,104.8,136.11764705882354,0.0,135,153,0,622.0275453855336,705.4383007670608,1018.4530286253753,1,1,0,0,0,0,0,0,0,0
2005,6,1,2,45,9.426906,9.131923,23.055991681266455,-19.329338,-20.51554,-10.53396822024985,129.11111111111111,134.90625,0.0,243,288,0,622.0275453855336,703.9107208670187,1179.2695763639208,1,1,0,0,0,0,0,0,0,0
2005,6,1,3,0,9.427245,9.103537,7.0130733896969515,-19.35939,-20.483229,-25.79729203936546,120.85,114.5925925925926,0.0,360,243,0,623.0621743480489,705.0631489436383,1248.885201421207,1,1,0,0,0,0,0,0,0,0
2005,6,1,3,15,9.401225,23.516694475292397,11.61767272984808,-19.537886,-11.62730133032323,-8.776450585712968,99.0,0.0,0.0,333,0,0,632.437556984266,1154.5422444481744,1001.9539159168972,1,0,0,0,0,0,0,0,0,0
2005,6,1,3,30,9.401225,7.301148605519196,20.463601754086802,-19.537886,-25.933163828538046,-8.690169648263144,119.48571428571428,0.0,0.0,315,0,0,632.437556984266,1237.8598979956103,1128.2125505667086,1,0,0,0,0,0,0,0,0,0
2005,6,1,3,45,9.373867,7.373867750764622,5.73148205282847,-19.596188,-23.917543339701286,-13.86408510825917,136.27692307692308,0.0,0.0,585,0,0,637.5576483768256,1077.6610425936426,1073.950155489635,1,0,0,0,0,0,0,0,0,0
2005,6,1,4,0,9.346092,6.18309049145614,9.52440051209938,-19.624216,-10.64841422959698,-9.251900016373167,150.9777777777778,0.0,0.0,810,0,0,641.5476096859628,1206.356486540006,1063.2227109555108,1,0,0,0,0,0,0,0,0,0
2005,6,1,4,15,9.318065,22.516437726318074,6.867436643133677,-19.622322,-9.461127671430052,-22.208779358426376,131.92523364485982,0.0,0.0,963,0,0,644.3788514466604,1209.315515294284,1014.633877077579,1,0,0,0,0,0,0,0,0,0
2005,6,1,4,30,9.318747,9.100332,21.97153864831664,-19.682579,-14.437192,-10.40024287592244,116.77906976744185,131.9375,0.0,774,144,0,646.7182788918583,706.1368643170439,1098.235682398701,1,1,0,0,0,0,0,0,0,0
2005,6,1,4,45,9.29073,9.155864,8.014282324706592,-19.68071,-14.411151,-24.752332604,105.0925925925926,155.5,0.0,486,522,0,649.5395629778012,702.0035132222822,1088.6852546561302,1,1,0,0,0,0,0,0,0,0
2005,6,1,5,0,9.072462,7.535101503043898,17.66016253438515,-14.435837,-10.640862657323705,-8.403360693158945,130.35135135135135,0.0,0.0,666,0,0,708.9548278481186,1091.6237363544387,1021.5820326003975,1,0,0,0,0,0,0,0,0,0
2005,6,1,5,15,9.07224,20.22720926655004,5.839128444602492,-14.407067,-8.442221777177636,-12.440671994039503,105.21052631578948,0.0,0.0,342,0,0,710.4373686266978,1136.1159970750225,1129.7258722375007,1,0,0,0,0,0,0,0,0,0
2005,6,1,8,15,8.888904,8.827944086573853,21.621330349023566,-15.785584,-26.451342814662762,-26.745641439479915,129.45,0.0,0.0,180,0,0,673.3619249960993,1176.4623848909732,1244.408759763211,1,0,0,0,0,0,0,0,0,0
2005,6,1,8,30,8.860462,7.886313391135664,19.839646618798998,-15.725911,-26.197625537806584,-25.45543913897731,117.125,0.0,0.0,144,0,0,678.1936630774767,1217.2471440018492,1021.3127270132577,1,0,0,0,0,0,0,0,0,0
2005,6,1,9,30,11.370773,22.823647557779104,7.609313522010325,-11.628115,-13.034087797794253,-25.473488875872143,171.2608695652174,0.0,0.0,207,0,0,733.7731202394843,1014.8876023017876,1177.3701491854756,1,0,0,0,0,0,0,0,0,0
2005,6,1,9,45,11.371533,21.538415640172328,7.179648884038153,-11.713736,-10.68205708742509,-9.958507709773457,150.2923076923077,0.0,0.0,585,0,0,725.7517840823092,1043.4201345218405,1171.8837256379031,1,0,0,0,0,0,0,0,0,0
2005,6,1,10,0,8.780921,11.314812,20.847103681603393,-16.187132,-11.653942,-26.686797550073248,146.23954372623575,129.18478260869566,0.0,2367,828,0,674.5733202139539,734.6066834578954,1190.0219459440023,1,1,0,0,0,0,0,0,0,0
